url,label
https://openai.com/about/blog/help,good
http://update-account817.info/update,phishing
https://github.com/contact/blog/help,good
http://payment-secure998.net/account,phishing
http://login-now835.net/account,phishing
https://python.org/about,good
https://apple.com/blog/about,good
https://python.org/blog,good
https://wikipedia.org/help/news,good
http://account-update698.info/update,phishing
https://python.org/help/about,good
https://python.org/contact,good
http://account-update139.net/update,phishing
http://payment-secure674.com/account,phishing
https://microsoft.com/help/blog,good
http://free-gift874.com/login,phishing
https://wikipedia.org/help/news/blog,good
https://wikipedia.org/blog/news/help,good
https://microsoft.com/products/contact/help,good
https://amazon.com/contact/products,good
http://confirm-details884.info/secure,phishing
http://win-prize690.org/secure,phishing
http://free-gift241.com/update,phishing
http://free-gift646.info/update,phishing
http://verify-info234.com/secure,phishing
http://verify-info893.info/login,phishing
http://win-prize790.com/account,phishing
https://python.org/contact/about/help,good
http://free-gift713.net/login,phishing
https://github.com/news/news/products,good
https://openai.com/help/news/blog,good
http://account-update695.net/account,phishing
https://apple.com/about/news/news,good
http://free-gift857.com/account,phishing
http://free-gift440.com/update,phishing
http://update-account250.info/secure,phishing
https://wikipedia.org/contact,good
https://amazon.com/contact,good
https://python.org/help,good
https://example.com/help/about/about,good
https://linkedin.com/blog/contact/products,good
https://wikipedia.org/about,good
https://github.com/about,good
http://verify-info391.com/account,phishing
https://example.com/about,good
http://login-now693.org/secure,phishing
http://login-now927.info/account,phishing
https://example.com/help,good
https://microsoft.com/products,good
http://account-update833.net/update,phishing
http://secure-login502.net/update,phishing
http://account-update856.info/update,phishing
https://amazon.com/contact/about/products,good
http://bank-secure799.net/update,phishing
http://update-account761.com/login,phishing
https://github.com/contact/blog/blog,good
http://account-update297.info/account,phishing
http://free-gift277.org/account,phishing
https://wikipedia.org/news,good
https://stackoverflow.com/help/news/contact,good
https://microsoft.com/about/blog,good
https://amazon.com/about,good
http://free-gift712.com/login,phishing
https://example.com/products/help/help,good
http://login-now989.org/account,phishing
https://apple.com/blog/blog,good
http://verify-info791.com/login,phishing
https://apple.com/products,good
http://win-prize368.org/update,phishing
http://login-now516.info/secure,phishing
https://github.com/blog/help/news,good
https://stackoverflow.com/products/contact/contact,good
http://free-gift589.org/secure,phishing
http://verify-info733.org/secure,phishing
http://free-gift214.info/secure,phishing
https://example.com/contact,good
http://free-gift396.org/account,phishing
https://openai.com/products/blog/news,good
http://secure-login897.org/secure,phishing
https://apple.com/contact,good
http://payment-secure752.com/login,phishing
http://win-prize779.com/secure,phishing
http://verify-info663.org/account,phishing
https://linkedin.com/contact,good
https://wikipedia.org/products/blog,good
https://wikipedia.org/products/news,good
http://verify-info379.net/update,phishing
https://github.com/news,good
http://payment-secure635.net/login,phishing
https://apple.com/products/contact,good
https://openai.com/about/blog,good
http://secure-login197.net/update,phishing
http://verify-info960.com/account,phishing
https://apple.com/blog/products,good
http://update-account603.info/update,phishing
http://verify-info453.net/secure,phishing
http://free-gift146.com/login,phishing
http://payment-secure652.com/account,phishing
https://apple.com/about/about/help,good
http://confirm-details236.info/account,phishing
https://amazon.com/blog,good
https://linkedin.com/about/about/help,good
https://stackoverflow.com/contact/news/products,good
http://verify-info317.com/account,phishing
http://bank-secure563.org/login,phishing
http://win-prize969.org/update,phishing
http://free-gift137.com/login,phishing
https://openai.com/about/products/help,good
http://win-prize658.org/login,phishing
https://example.com/products/blog,good
http://free-gift712.net/secure,phishing
http://secure-login473.info/update,phishing
http://free-gift235.org/account,phishing
http://payment-secure815.com/login,phishing
http://verify-info720.com/secure,phishing
https://linkedin.com/news,good
https://openai.com/about/about/contact,good
http://login-now808.com/login,phishing
http://bank-secure446.net/account,phishing
http://bank-secure461.com/account,phishing
https://wikipedia.org/help,good
http://account-update921.net/account,phishing
http://secure-login535.net/update,phishing
http://verify-info969.info/login,phishing
https://apple.com/contact/blog/news,good
http://secure-login707.info/update,phishing
http://bank-secure751.info/secure,phishing
https://apple.com/blog,good
https://stackoverflow.com/products,good
